documento,paginas_word,paginas_libreoffice,ssim_promedio,fidelidad_visual,conservacion_paginacion,indice_cross_engine
06_ActaEntregaRecepcion.docx,1,1,0.7504,75.0,100.0,87.5
09_AutoDelegaciónRepresentanteTecnico.doc,1,1,0.835,83.5,100.0,91.8
10_DelegaciónRepresentanteTécnico.doc,1,1,0.8105,81.0,100.0,90.5
