documento,paginas_word,paginas_libreoffice,ssim_promedio,fidelidad_visual,conservacion_paginacion,indice_cross_engine
02_MemorandoInterno.docx,1,1,0.97,97.0,100.0,98.5
03_ActaReunionComite.docx,1,1,0.9691,96.9,100.0,98.5
04_InformeNecesidad.docx,3,3,0.9734,97.3,100.0,98.7
05_SolicitudCompraSIC.docx,1,1,0.9863,98.6,100.0,99.3
06_ActaEntregaRecepcion.docx,1,1,0.9714,97.1,100.0,98.5
07_FormularioESPOLDivulga.docx,2,2,0.8996,90.0,100.0,95.0
08_DelegacionRepresentanteTecnico.docx,1,1,0.9485,94.8,100.0,97.4
formulario 2026.docx,4,4,0.9587,95.9,100.0,98.0
